Subject ,Standard ,SKILL/TOPIC,Learning Objective,Competencies Learners should be able to:,Grade_Level
Environmental Studies,Environmental Studies,Parts of the body  changes and emotions  and senses,Learners will identify parts of the body  changes in the body  emotions and senses,describe various feelings and emotions and how they can change  e.g.identify expressions of emotion in themselves and othersgive reasons how/why moods can change,One
Environmental Studies,Environmental Studies,Friendship,Learners will understand the importance of friendship,show how to be a good friend  e.g.- discuss who their friends are and why friends are important- discuss and draw how to take care of friends  look out for them and help them- discuss what ‘bullying’ is what you can do about it,One
Environmental Studies,Environmental Studies,Taking care in potentially dangerous situations,Learners will understand how to take care of themselves in potentially dangerous situations,dentify and describe how to stay safe in the home  school and immediate environment  e.g.discuss how to play safely in the sun  and minimise harm and injury in the playgroundidentify objects in the home that may be dangerous  e.g. knives  medicines  etc,One
Environmental Studies,Environmental Studies,Taking care in potentially dangerous situations,Learners will understand how to take care of themselves in potentially dangerous situations,demonstrate how to say ‘no’ in an uncomfortable  potentially harmful situation  e.g.describe yes/no forms of contact and discuss what forms of ‘touching’ are acceptable and unacceptablerole-play situations and practise saying ‘no’ loudly and firmlyidentify people in the family and community who can help,One
Environmental Studies,Environmental Studies,Healthy food and eating habits,Learners will understand that healthy food and eating habits are necessary for growth and health,describe healthy food which should be eaten regularly  and healthy eating habits  e.g.discuss and draw healthy food and a balanced diet  and unhealthy food- discuss the need for healthy foods and good eating habits to ensure growth and good health- identify locally available food,One
Environmental Studies,Environmental Studies,Traffic safety,Learners will understand the importance of traffic safety,identify road signs in the local environment  explain dangers on the road  demonstrate how to safely cross the road and identify potential dangers on the way to school  e.g.- draw and describe road signs- discuss how pedestrians/cyclists- should behave in traffic; identifydanger spots in the local environment practise good pedestrian/cycling behaviour,One
Environmental Studies,Environmental Studies,Traffic safety,Learners will understand the importance of traffic safety,describe route to school and identify potential traffic dangers,One
Environmental Studies,Environmental Studies,Plants as living things,Learners will understand that plants in their environment are living things and have a life cycle (Heredity and Evolution),describe plants as living things that need air  water and sunlight to survive  e.g.place seedlings under different conditions: some without water; some without sunlight and observe growth of plants observe trees  bushes and grasses in the local environment and discuss their need for air  water and sunlight,One
Environmental Studies,Environmental Studies,Plants as living things,Learners will understand that plants in their environment are living things and have a life cycle (Heredity and Evolution),describe/draw how seedsgerminate  e.g.plant different types of seeds in jars and observe how the seeds sproutwrite a simple procedure to show how to plant a seed,One
Environmental Studies,Environmental Studies,Plants as living things,Learners will understand that plants in their environment are living things and have a life cycle (Heredity and Evolution),identify  name and give the main parts of trees  bushes and grass from their own environment  e.g.collect leaves  bark  seeds and roots  and compare and label them- write a poem about trees leaves  seeds,One
Environmental Studies,Environmental Studies,Plants as living things,Learners will understand that plants in their environment are living things and have a life cycle (Heredity and Evolution),name and identify poisonous plants in the local environment- find examples of poisonous and non-poisonous plants- discuss why poisonous plants should be avoided,One
Environmental Studies,Environmental Studies,Animals as living things,Learners will understand that animals are living things that have different characteristics  habitats and feeding habits (Heredity and Evolution),describe animals (including humans) as living things that need food  water and shelter to survive  e.g.- discuss basic needs and whathappens when they are not met,One
Environmental Studies,Environmental Studies,Animals as living things,Learners will understand that animals are living things that have different characteristics  habitats and feeding habits (Heredity and Evolution),identify physical features and feeding habits of domestic animals  e.g.- observe domestic animals and discover what they eat and drink  and where they sleep/rest- describe differences between domestic and wild animals- discuss/tell stories and create art/drama showing domestic and wild animals,One
Environmental Studies,Environmental Studies,Water – its uses  conservation and pollution,Learners will understand the importance of water  its uses  conservation and preventing water pollution (Science and Technology in Society),explain why we need water and the importance of clean water  e.g.discuss why we need water and why only clean water should be drunk,One
Environmental Studies,Environmental Studies,Water – its uses  conservation and pollution,Learners will understand the importance of water  its uses  conservation and preventing water pollution (Science and Technology in Society),identify local water sources and the uses of clean water  e.g.- visit some local water sources and ask authorities if the water is clean or not; write a recount of the visit; give simple statements to show an opinion about how clean the water is- describe and create art to show how clean water is used,One
Environmental Studies,Environmental Studies,Water – its uses  conservation and pollution,Learners will understand the importance of water  its uses  conservation and preventing water pollution (Science and Technology in Society),identify some basic causes of water pollution and simple prevention  e.g.- visit a water source and identify sources of pollution- make a simple pictograph showing the types of pollution found- discuss simple ways to prevent pollution (e.g. wash at home  not in river) and construct a class chart- role-play how to stop people polluting the water,One
Environmental Studies,Environmental Studies,Caring for the environment,Learners will understand the importance of caring for our environment and keeping it clean (Science and Technology in Society),explain and demonstrate the importance of cleaning and caring for the environment  e.g.participate in clean-up activities of the school environment discuss why a clean and tidy school is necessary; take turns to tidy the classroom,One
Environmental Studies,Environmental Studies,Properties and uses of materials,Learners will understand that materials have different properties and uses (Properties of Matter),identify and describe objects that can sink and float in water  e.g.experiment with objects to discover if they float or sink classify objects that can sink or float,One
Environmental Studies,Environmental Studies,Weather  seasons and the environment,Learners will understand how the weather affects our environment (Energy in the Earth’s Systems),describe seasonal changes anddaily weather conditions  e.g. observe the weather regularly and keep a simple chart (sunny  cloudy  rainy  windy  cold  warm  hot  very hot),One
Environmental Studies,Environmental Studies,Weather  seasons and the environment,Learners will understand how the weather affects our environment (Energy in the Earth’s Systems),name clothes and food that are suitable for weather conditions  e.g.match pictures of clothes with weather conditions,One
Environmental Studies,Environmental Studies,The Earth  the Moon  our Solar System and the Universe ,Learners will understand the relationship between the Earth  the moon  our solar system and the universe (The Earth and Beyond),describe things in the sky that are easily visible  e.g.- observe  discuss and draw things in the sky  e.g. the sun  moon  stars  some planets -discuss the dangers of looking directly at the sun,One
Environmental Studies,Environmental Studies,Forces  motion and energy,Learners will understand that forces  motion and energy are used in our everyday lives (Energy in the Earth’s Systems),dentify simple sources ofenergy  e.g.draw pictures showing the sun  wind and fuel (e.g. filling the car with petrol)identify the sun as a major source of energy,One
Environmental Studies,Environmental Studies,Forces  motion and energy,Learners will understand that forces  motion and energy are used in our everyday lives (Energy in the Earth’s Systems),identify the effects of energy and what makes things work  grow and move  e.g.observe and discuss how the wind makes things move  the sun gives heat and light and makes plants grow  objects move by pushing and pulling,One
Environmental Studies,Environmental Studies,Inquiry methods,Learners will use inquiry methods to search out  describe  explain and predict natural occurrences,ake predictions about what may occur in an investigation  e.g.what will happen if I add water? what happens when you put a feather in front of your nose?,One
Environmental Studies,Environmental Studies,Inquiry methods,Learners will use inquiry methods to search out  describe  explain and predict natural occurrences,use a teacher-modelled procedure when investigating  e.g.what did we do? what did we find out?,One
Environmental Studies,Environmental Studies,Scientific Literacy,Learners will demonstrate scientific literacy,share information with others through speaking  listening  drawing  reading and writing,One
Environmental Studies,Environmental Studies,Scientific numeracy,Learners will demonstrate scientific numeracy,organise information using sorting  grouping  listing  drawings,One
Environmental Studies,Environmental Studies,Scientific numeracy,Learners will demonstrate scientific numeracy,observe  compare  classify  describe and record using simple non-standard measuring tools to collect data  e.g.- use hand span etc,One
Environmental Studies,Environmental Studies,Scientific numeracy,Learners will demonstrate scientific numeracy,construct a simple table to record observations,One
Mathematics,Counting,Number range 0 - 100,Learners will count with and without using concrete objects and understand the need and convenience ofcounting in everyday life,count concrete objects up to 20and backwards from 20 - 0,One
Mathematics,Counting,Number range 0 - 100,"""Learners will count with and without using concrete objects and understand the need and convenience ofcounting in everyday life""",count mechanically up to 100 in 2s up to 30  in 5s and 10s up 100,One
Mathematics,Counting,Subitising/estimating(identifying the number ofgiven objects without counting),Learners will subitise  estimate and apply re-arranging skills to handle spatial relationship and patterns,Learners will subitise  estimate and apply re-arranging skills to handle spatial relationship and patterns,One
Mathematics,Counting,Subitising/estimating(identifying the number ofgiven objects without counting,Learners will subitise  estimate and apply re-arranging skills to handle spatial relationship and patterns,identify the number of objectsup to 10 which are groupedappropriately  then check bycounting,One
Mathematics,Counting,"Subitising/estimating(identifying the number ofgiven objects without counting""",Learners will subitise  estimate and apply re-arranging skills to handle spatial relationship and patterns,recognise that differentarrangements/patterns ofobjects can represent the samenumber  e.g.         2threes or 3twos or 5+1,One
Mathematics,Counting,"Subitising/estimating(identifying the number ofgiven objects without counting)""",Learners will subitise  estimate and apply re-arranging skills to handle spatial relationship and patterns,identify a number of objects upto 6 without counting  thencheck by counting,One
Mathematics,Counting,Ordering and comparing,Learners will use mathematical vocabulary for ordering and comparing numbers logically and analytically,order and compare objects andnumbers (number range 1 - 20)using appropriate vocabulary:greater than  smaller than andequal to (the symbol ‘>’ for‘more than’ and ‘<‘ for ‘lessthan’ are not included),One
Mathematics,Counting,Ordering and comparing,Learners will use mathematical vocabulary for ordering and comparing numbers logically and analytically,order numbers from 1 - 20 inascending order (from smallestto greatest) and descendingorder (from greatest tosmallest) e.g. Write these numbers fromthe smallest to the greatest andfrom the greatest to thesmallest : 11  5 12 and 3,One
Mathematics,Counting,Ordering and comparing,Learners will use mathematical vocabulary for ordering and comparing numbers logically and analytically,identify the position of objectsfrom 1st to 10th or 1st to last,One
Mathematics,Counting,Ordering and comparing,Learners will use mathematical vocabulary for ordering and comparing numbers logically and analytically,name  read and work withordinal numbers from 1st- 10th in ascending and descendingorder  e.g.ascending: 1st   2nd   3rd  etc.;descending: 10th  9th  etc.,One
Mathematics,Counting,Representing numbers,Learners will recognise  read and write numbers,read  pronounce and identifynumbers up to 100  on anumber chart and number line,One
Mathematics,Counting,Representing numbers,Learners will recognise  read and write numbers,trace  copy and write numbers0 - 20,One
Mathematics,Counting,Representing numbers,Learners will recognise  read and write numbers,read the number names up to10 in words  e.g. one  two,One
Mathematics,Counting,Representing numbers,Learners will recognise  read and write numbers,observe  discover and identifynumerals in their environment e.g. car number plates  housenumbers,One
Mathematics,Counting,Doubling and halving,Learners will understand the principle of doubling and halving numbers,double numbers 1  2  3 4  5 and 10 with and without usingobjects,One
Mathematics,Counting,Doubling and halving,Learners will understand the principle of doubling and halving numbers,halve numbers 2  4  6  8  10 20 with and without usingobjects,One
Mathematics,Counting,Decomposition,Learners will understand how to break down and build up numbers and recall the number bonds to 20,start to recall number bonds to10  e.g.9 = 1 + 8; 9 = 8 + 1; 9 – 8 = 1; 9– 1 = 8; 9 = 2 + 7; etc,One
Mathematics,Counting,Place Value,Learners will recognise digit position and place value,recognise  in two-digit numbersup to 99  that the position of thedigit makes a difference to thequantity of the number  e.g.12 is different from 21; Given thedigits 3 and 4  form the biggesttwo-digit and the smallestnumber (34 and 43),One
Mathematics,Counting,Number patterns,Learners will recognise odd and even numbers and extend and describe number sequences,identify numbers that can besplit into two equal sets andnumbers that cannot be splitinto two equal sets in the range  1 - 20,One
Mathematics,Counting,Number patterns,Learners will recognise odd and even numbers and extend and describe number sequences,extend simple numbersequences in the range 1 - 20 e.g.Complete: 1; 3; 5; ...; ...,One
Mathematics,Counting,Number patterns,Learners will recognise odd and even numbers and extend and describe number sequences,describe the sequence  e.g.3; 6; 9; 12; 15Description: start at 3 and goup in jumps of 3,One
Mathematics,Counting,Odd and even numbers,Learners will recognise odd and even numbers,demonstrate one-to-onecorrespondence with numbers1 to 10 to understand equalgroupings (even numbersmake equal sets and oddnumbers make unequal sets),One
Mathematics,Counting,Odd and even numbers,Learners will recognise odd and even numbers,Examples of activities:- complete flow diagrams withmissing numbers- fill in missing numbers in opennumber sentences up to 20e.g. 5 + = 12- number snakes- number pyramids,One
Mathematics,Counting,Subtraction,Learners will understand basic mathematical concepts to master subtraction and numerical notation,subtract one number fromanother number in the range 1 -20 using the following strategies:- physically take away and countthe rest by using concreteapparatus or drawings- count back- count up  e.g. for 19 − 17  countup 2 from 17 to 19- apply a known number fact  e.g.3 − 1 = 2- break down and build upnumbersExamples of apparatus andactivities:- number lines- number charts- complete flow diagrams withmissing numbers- filling in missing numbers in opennumber sentences up to 20  e.g.16 − . = 12- number snakes- number pyramids,One
Mathematics,Counting,Subtraction,Learners will understand basic mathematical concepts to master subtraction and numerical notation,relate subtraction to addition  e.g.18 − 2 = 16 and 16 + 2 = 18,One
Mathematics,COMPUTATION,Addition,Learners will understand basic mathematical concepts to master addition and numerical notation,add up two or more numberswith a sum between 0 - 20 using the following strategies:- using drawings or concreteapparatus- counting all- counting on using the numberchart or number line or anyother technique  e.g. Put thefirst number in your head  thenuse your fingers to count on- putting the larger number first- doubling and halving- building up and breaking down numbers,One
Mathematics,COMPUTATION,Multiplication,Learners will understand basic mathematical concepts to master multiplication and numerical notation,count in 2s up to 20  in 5s up to50  and in 10s up to 100,One
Mathematics,COMPUTATION,Multiplication,Learners will understand basic mathematical concepts to master multiplication and numerical notation,count concrete objects ingroups of 2  5 and 10 andsay  for example  “5 + 5 + 5 is3 lots of 5 and is equal to 15”,One
Mathematics,COMPUTATION,Multiplication,Learners will understand basic mathematical concepts to master multiplication and numerical notation,draw groups of objects anddetermine the total byrepeated addition (themultiplication sign is not usedat this stage - rather use ‘lotsof’  e.g. 3 lots of 2),One
Mathematics,COMPUTATION,Division,Learners will understand basic mathematical concepts to master division and numerical notation,arrange objects in equalgroups using concretematerials  and count thenumber of groups,One
Mathematics,COMPUTATION,Division,Learners will understand basic mathematical concepts to master division and numerical notation,find own methods to shareobjects equally betweenmembers of a group:- act out the situation- use concrete materials- use drawings (the division signis not used at this stage) - use story problems  e.g. Martinhas 9 apples and shares themequally among 3 friends. Howmany apples does each friend get?,One
Mathematics,COMPUTATION,Division,Learners will understand basic mathematical concepts to master division and numerical notation,demonstrate that division isrepeated subtraction  e.g.6 divided by 2 is 3 because2 can be subtracted threetimes. (Use concrete objects),One
Mathematics,COMPUTATION,Division,Learners will understand basic mathematical concepts to master division and numerical notation,arrange or group up to 10objects in 2s  3s  4s and 5swith and without remainders,One
Mathematics,COMPUTATION,Multi-step problems,Learners will solve multi-step problems using different methods  strategies  concepts and processes,solve chain sums in the rangeof 0 -10 with addition andsubtraction  e.g.7 + 3 – 4 =,One
Mathematics,COMPUTATION,Fractions,Learners will understand mathematical concepts to identify fractions, share objects into equal parts e.g. cut an apple into two equalparts.Use examples such as:full glass half glass,One
Mathematics,PROBLEM SOLVING,Problem solving,Learners will solve story problems about everyday contexts using addition  subtraction  grouping or sharingand using any logical strategies,solve and interpret storyproblems about everydayevents in the number range1 - 10,One
Mathematics,PROBLEM SOLVING,Problem solving,Learners will solve story problems about everyday contexts using addition  subtraction  grouping or sharingand using any logical strategies,record appropriate ways to findsolutions by using concreteobjects  discussing/sharingideas  finding patterns  actingout a play and combiningdrawings  diagrams andnumbers,One
Mathematics,PROBLEM SOLVING,Problem solving,Learners will solve story problems about everyday contexts using addition  subtraction  grouping or sharingand using any logical strategies,apply efficient methods andstrategies to solve problems inthe range 1 - 10 by usingaddition  subtraction  groupingor sharing  e.g.I had some strawberries andate three. Then there were fiveleft. How many strawberrieswere there to start with?,One
Mathematics,PROBLEM SOLVING,Problem solving,Learners will solve story problems about everyday contexts using addition  subtraction  grouping or sharingand using any logical strategies,explain the method they usedand listen to other learners’explanations,One
Mathematics,MEASUREMENT,Length,Learners will understand the importance of measuring length and its application to everyday life discover opportunities for reasoning  interpreting and applying measurements discover a logical sense of comparison develop the concept and everyday application of measuring objects,compare objects of differentlengths using appropriatevocabulary: long/short;longer/shorter than;longest/shortest; the samelength/as long as,One
Mathematics,MEASUREMENT,Length,Learners will understand the importance of measuring length and its application to everyday life discover opportunities for reasoning  interpreting and applying measurements discover a logical sense of comparison develop the concept and everyday application of measuring objects,measure lengths using non-standard units  e.g. with handspans  palms  footprints paces  etc.  withmeasurements differing fromlearner to learner,One
Mathematics,MEASUREMENT,Mass,Learners will: understand the importance of measuring mass and its application to everyday lifediscover opportunities for reasoning  interpreting and applying measurementsdiscover a logical sense of comparisondevelop the concept and everyday application of measuring objects,physically compare the mass ofobjects by hefting (holding oneobject in each hand todetermine which is heavier) orusing improvised balancessuch as a ‘hanger balance’,One
Mathematics,MEASUREMENT,Mass,Learners will: understand the importance of measuring mass and its application to everyday lifediscover opportunities for reasoning  interpreting and applying measurementsdiscover a logical sense of comparisondevelop the concept and everyday application of measuring objects,use correct vocabulary whenordering and comparing  e.g.lighter/heavier lightest/heaviest  the samemass/as heavy as,One
Mathematics,MEASUREMENT,Capacity,Learners will: understand the importance of measuring capacity and its application to everyday life;discover opportunities for reasoning  interpreting and applying measurements;discover a logical sense of comparison;develop the concept and everyday application of measuring objects,order and compare differentcontainers (bottles  boxes  tins etc.) according toincreasing/decreasing capacity,One
Mathematics,MEASUREMENT,Capacity,Learners will: understand the importance of measuring capacity and its application to everyday life;discover opportunities for reasoning  interpreting and applying measurements;discover a logical sense of comparison;develop the concept and everyday application of measuring objects,use correct vocabulary  e.g.full/empty  half full/half empty the same amount/as much as more/less than,One
Mathematics,MEASUREMENT,Capacity,Learners will: understand the importance of measuring capacity and its application to everyday life;discover opportunities for reasoning  interpreting and applying measurements;discover a logical sense of comparison;develop the concept and everyday application of measuring objects,compare the capacity of variouscontainers with different shapesand sizes and record,One
Mathematics,MEASUREMENT,Capacity,Learners will: understand the importance of measuring capacity and its application to everyday life;discover opportunities for reasoning  interpreting and applying measurements;discover a logical sense of comparison;develop the concept and everyday application of measuring objects,measure and compare capacitywith sets of non-standard units,One
Mathematics,MEASUREMENT,TimeThe passage of time,Learners will: understand and use time correctly;understand how long daily events take in real life,discuss daily home andcommunity activities inrelation to the time of day match events to day-time night-time  morning afternoon and evening,One
Mathematics,MEASUREMENT,TimeThe passage of time,Learners will: understand and use time correctly;understand how long daily events take in real life,name the days of the weekand the months of the year inthe correct order,One
Mathematics,MEASUREMENT,TimeThe passage of time,Learners will: understand and use time correctly;understand how long daily events take in real life,compare ‘long’ and ‘short’periods of time  e.g. it takes along time to build a house;break time is short,One
Mathematics,MEASUREMENT,TimeThe passage of time,Learners will: understand and use time correctly;understand how long daily events take in real life,use vocabulary correctly  e.g.a long/short time  day/night yesterday/today/tomorrow morning/afternoon/evening,One
Mathematics,MEASUREMENT,MoneyNamibian currency,Learners will understand how to use Namibian currency,name and identify differentvalues of coins by recognising5c  10c  50c  N$1 and N$5 and discuss their properties e.g. size  markings color and value,One
Mathematics,MEASUREMENT,MoneyNamibian currency,Learners will understand how to use Namibian currency,select a set of coins equal invalue to another coin  up to50c  e.g. 10c = 5c + 5c,One
Mathematics,MEASUREMENT,MoneyNamibian currency,Learners will understand how to use Namibian currency,demonstrate buying andselling articles with playmoney  counting money andgiving change from N$5(change in either cents ordollars  not both),One
Mathematics,GEOMETRY,Geometrical figures,Learners will identify  name and explore the attributes of two-dimensional (2D) shapes and three-dimensional (3D)figures,identify and name common2D shapes: square  circle rectangle and triangle,One
Mathematics,GEOMETRY,Geometrical figures,Learners will identify  name and explore the attributes of two-dimensional (2D) shapes and three-dimensional (3D)figures,find and identify objects inthe environment,One
Mathematics,GEOMETRY,Geometrical figures,Learners will identify  name and explore the attributes of two-dimensional (2D) shapes and three-dimensional (3D)figures,sort and classify commonshapes (as above) accordingto attributes: colour  size shape and number of sides,One
Mathematics,GEOMETRY,Geometrical figures,Learners will identify  name and explore the attributes of two-dimensional (2D) shapes and three-dimensional (3D)figures,draw/make shapes and theirattributes using words suchas round  sides  corners straight  e.g. draw/make arectangle with two shortstraight sides and two longstraight sides that join tomake four corners,One
Mathematics,GEOMETRY,Geometrical figures,Learners will identify  name and explore the attributes of two-dimensional (2D) shapes and three-dimensional (3D)figures,create pictures and patternswith shapes,One
Mathematics,GEOMETRY,Geometrical figures,Learners will identify  name and explore the attributes of two-dimensional (2D) shapes and three-dimensional (3D)figures,identify and name common3D figures: sphere rectangular prism  cube and cone,One
Mathematics,GEOMETRY,Geometrical figures,Learners will identify  name and explore the attributes of two-dimensional (2D) shapes and three-dimensional (3D)figures,sort and classify common 3Dobjects (as above) accordingto attributes  e.g. ones thatcan roll or slide down a ramp ones that can be stackedwithout or with leavingspaces in between,One
Mathematics,GEOMETRY,Geometrical figures,Learners will identify  name and explore the attributes of two-dimensional (2D) shapes and three-dimensional (3D)figures,describe common objectsusing words such as edges corners  faces  straight curved and flat,One
Mathematics,GEOMETRY,Geometrical figures,Learners will identify  name and explore the attributes of two-dimensional (2D) shapes and three-dimensional (3D)figures,create own models,One
Mathematics,GEOMETRY,Location  position andmovement of objects,Learners will identify location  position and movement of objects,describe the relative locationof objects and people usingpositional and directionallanguage  e.g.over  under  above  below  infront  behind  outside  inside next to  between,One
Mathematics,DATA HANDLING,Pictographs  tables andbar graphs,Learners will collect  organise  display and interpret data,classify objects into categoriesand name each group  e.g.cars  trucks  etc.,One
Mathematics,DATA HANDLING,Pictographs  tables andbar graphs,Learners will collect  organise  display and interpret data,collect data appropriate to atheme  e.g. number and typesof learners’ hobbies  andorganise and display on apictograph,One
Mathematics,DATA HANDLING,Pictographs  tables andbar graphs,Learners will collect  organise  display and interpret data,interpret data to gaininformation  and discussfindings  e.g.Looking at the pictograph  how many learners liketo play soccer?many learners like to playsoccer? use non-standard units ,One
Mathematics,DATA HANDLING,Pictographs  tables andbar graphs,Learners will collect  organise  display and interpret data,use non-standard units  e.g.bottle tops  to measure objects and record results on apictograph,One
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Nu,,,,,
